LAUSCode,stateCode,countyCode,UrbanOrRural,countyName/stateAbb,stateAbb,Period,laborForce,employed,unemployed,unemploymentRate
CN4100100000000,41,1,Urban,Baker,OR,Mar-21,"7,438","6,913",525,7.1
CN4100300000000,41,3,Urban,Benton,OR,Mar-21,"47,866","45,541","2,325",4.9
CN4100500000000,41,5,Urban,Clackamas,OR,Mar-21,"222,801","209,220","13,581",6.1
CN4100700000000,41,7,Urban,Clatsop,OR,Mar-21,"19,378","17,888","1,490",7.7
CN4100900000000,41,9,Urban,Columbia,OR,Mar-21,"24,657","22,948","1,709",6.9
CN4101100000000,41,11,Urban,Coos,OR,Mar-21,"27,502","25,350","2,152",7.8
CN4101300000000,41,13,Urban,Crook,OR,Mar-21,"10,678","9,787",891,8.3
CN4101500000000,41,15,Urban,Curry,OR,Mar-21,"8,990","8,227",763,8.5
CN4101700000000,41,17,Urban,Deschutes,OR,Mar-21,"101,820","94,798","7,022",6.9
CN4101900000000,41,19,Urban,Douglas,OR,Mar-21,"48,789","45,245","3,544",7.3
CN4102500000000,41,25,Urban,Harney,OR,Mar-21,"3,784","3,518",266,7
CN4102900000000,41,29,Urban,Jackson,OR,Mar-21,"109,071","101,727","7,344",6.7
CN4103300000000,41,33,Urban,Josephine,OR,Mar-21,"37,514","34,705","2,809",7.5
CN4103500000000,41,35,Urban,Klamath,OR,Mar-21,"30,009","27,492","2,517",8.4
CN4103900000000,41,39,Urban,Lane,OR,Mar-21,"181,311","168,994","12,317",6.8
CN4104100000000,41,41,Urban,Lincoln,OR,Mar-21,"20,573","18,781","1,792",8.7
CN4104300000000,41,43,Urban,Linn,OR,Mar-21,"60,865","56,717","4,148",6.8
CN4104500000000,41,45,Urban,Malheur,OR,Mar-21,"13,080","12,392",688,5.3
CN4104700000000,41,47,Urban,Marion,OR,Mar-21,"167,975","157,610","10,365",6.2
CN4104900000000,41,49,Urban,Morrow,OR,Mar-21,"5,996","5,681",315,5.3
CN4105100000000,41,51,Urban,Multnomah,OR,Mar-21,"464,984","432,663","32,321",7
CN4105300000000,41,53,Urban,Polk,OR,Mar-21,"41,548","39,080","2,468",5.9
CN4105900000000,41,59,Urban,Umatilla,OR,Mar-21,"38,023","35,594","2,429",6.4
CN4106100000000,41,61,Urban,Union,OR,Mar-21,"12,300","11,384",916,7.4
CN4106500000000,41,65,Urban,Wasco,OR,Mar-21,"12,969","12,064",905,7
CN4106700000000,41,67,Urban,Washington,OR,Mar-21,"328,803","310,926","17,877",5.4
